paradigm,start_combination,func,time,system,start_property
functional,"P,W,R,O",P,0.19746799999999998,linux,0
functional,"P,W,R,O",W,1.155801,linux,0
functional,"P,W,R,O",R,0.08387,linux,0
functional,"P,W,R,O",O,0.243696,linux,0
functional,"P,W,O,R",P,0.077298,linux,0
functional,"P,W,O,R",W,0.098559,linux,0
functional,"P,W,O,R",O,0.207788,linux,0
functional,"P,W,O,R",R,0.07031399999999999,linux,0
functional,"P,O,W,R",P,0.227786,linux,0
functional,"P,O,W,R",O,0.218999,linux,0
functional,"P,O,W,R",W,0.09516200000000001,linux,0
functional,"P,O,W,R",R,0.071978,linux,0
functional,"O,P,W,R",O,0.19347999999999999,linux,0
functional,"O,P,W,R",P,0.067168,linux,0
functional,"O,P,W,R",W,0.058692999999999995,linux,0
functional,"O,P,W,R",R,0.069804,linux,0
functional,"O,P,R,W",O,0.263043,linux,0
functional,"O,P,R,W",P,0.014667999999999999,linux,0
functional,"O,P,R,W",R,0.10033199999999999,linux,0
functional,"O,P,R,W",W,0.105391,linux,0
functional,"P,O,R,W",P,0.012875,linux,0
functional,"P,O,R,W",O,0.166849,linux,0
functional,"P,O,R,W",R,0.071206,linux,0
functional,"P,O,R,W",W,0.068982,linux,0
functional,"P,R,O,W",P,0.12382699999999999,linux,0
functional,"P,R,O,W",R,0.119468,linux,0
functional,"P,R,O,W",O,0.175706,linux,0
functional,"P,R,O,W",W,0.110792,linux,0
functional,"P,R,W,O",P,0.160427,linux,0
functional,"P,R,W,O",R,0.090112,linux,0
functional,"P,R,W,O",W,0.05742,linux,0
functional,"P,R,W,O",O,0.191796,linux,0
functional,"R,P,W,O",R,0.08529300000000001,linux,0
functional,"R,P,W,O",P,0.15306299999999998,linux,0
functional,"R,P,W,O",W,0.075063,linux,0
functional,"R,P,W,O",O,0.144215,linux,0
functional,"R,P,O,W",R,0.08937099999999999,linux,0
functional,"R,P,O,W",P,0.014808,linux,0
functional,"R,P,O,W",O,0.14426599999999998,linux,0
functional,"R,P,O,W",W,0.057460000000000004,linux,0
functional,"R,O,P,W",R,0.092166,linux,0
functional,"R,O,P,W",O,0.139357,linux,0
functional,"R,O,P,W",P,0.060185,linux,0
functional,"R,O,P,W",W,0.056568,linux,0
functional,"O,R,P,W",O,0.122605,linux,0
functional,"O,R,P,W",R,0.056348,linux,0
functional,"O,R,P,W",P,0.012764,linux,0
functional,"O,R,P,W",W,0.045487,linux,0
functional,"O,R,W,P",O,0.120911,linux,0
functional,"O,R,W,P",R,0.063351,linux,0
functional,"O,R,W,P",W,0.046409,linux,0
functional,"O,R,W,P",P,0.012725,linux,0
functional,"R,O,W,P",R,0.054404,linux,0
functional,"R,O,W,P",O,0.121692,linux,0
functional,"R,O,W,P",W,0.046078,linux,0
functional,"R,O,W,P",P,0.13083099999999998,linux,0
functional,"R,W,O,P",R,0.07227800000000001,linux,0
functional,"R,W,O,P",W,0.047671,linux,0
functional,"R,W,O,P",O,0.14566900000000002,linux,0
functional,"R,W,O,P",P,0.012894000000000001,linux,0
functional,"R,W,P,O",R,0.061688,linux,0
functional,"R,W,P,O",W,0.047081000000000005,linux,0
functional,"R,W,P,O",P,0.103298,linux,0
functional,"R,W,P,O",O,0.123817,linux,0
functional,"W,R,P,O",W,0.047,linux,0
functional,"W,R,P,O",R,0.055917,linux,0
functional,"W,R,P,O",P,0.012794999999999999,linux,0
functional,"W,R,P,O",O,0.15473599999999998,linux,0
functional,"W,R,O,P",W,0.046439,linux,0
functional,"W,R,O,P",R,0.07719799999999999,linux,0
functional,"W,R,O,P",O,0.098688,linux,0
functional,"W,R,O,P",P,0.010379,linux,0
functional,"W,O,R,P",W,0.049575,linux,0
functional,"W,O,R,P",O,0.10265600000000001,linux,0
functional,"W,O,R,P",R,0.050226,linux,0
functional,"W,O,R,P",P,0.01041,linux,0
functional,"O,W,R,P",O,0.097346,linux,0
functional,"O,W,R,P",W,0.040006,linux,0
functional,"O,W,R,P",R,0.048473,linux,0
functional,"O,W,R,P",P,0.071286,linux,0
functional,"O,W,P,R",O,0.104379,linux,0
functional,"O,W,P,R",W,0.038394,linux,0
functional,"O,W,P,R",P,0.015379,linux,0
functional,"O,W,P,R",R,0.873731,linux,0
functional,"W,O,P,R",W,0.09954,linux,0
functional,"W,O,P,R",O,0.246251,linux,0
functional,"W,O,P,R",P,0.014307,linux,0
functional,"W,O,P,R",R,0.139317,linux,0
functional,"W,P,O,R",W,0.083059,linux,0
functional,"W,P,O,R",P,0.01038,linux,0
functional,"W,P,O,R",O,0.102697,linux,0
functional,"W,P,O,R",R,0.045868,linux,0
functional,"W,P,R,O",W,0.038464,linux,0
functional,"W,P,R,O",P,0.019477,linux,0
functional,"W,P,R,O",R,0.06625700000000001,linux,0
functional,"W,P,R,O",O,0.100111,linux,0
