paradigm,start_combination,func,time,system,start_property
functional,"P,W,R,O",P,0.5455,windows,0
functional,"P,W,R,O",W,2.2757,windows,0
functional,"P,W,R,O",R,11.0553,windows,0
functional,"P,W,R,O",O,3.9744,windows,0
functional,"P,W,O,R",P,1.0897,windows,0
functional,"P,W,O,R",W,2.2288,windows,0
functional,"P,W,O,R",O,3.2436,windows,0
functional,"P,W,O,R",R,1.8289,windows,0
functional,"P,O,W,R",P,0.0,windows,0
functional,"P,O,W,R",O,6.2939,windows,0
functional,"P,O,W,R",W,2.5194,windows,0
functional,"P,O,W,R",R,0.0,windows,0
functional,"O,P,W,R",O,0.0,windows,0
functional,"O,P,W,R",P,0.0,windows,0
functional,"O,P,W,R",W,10.1088,windows,0
functional,"O,P,W,R",R,3.0074,windows,0
functional,"O,P,R,W",O,2.726,windows,0
functional,"O,P,R,W",P,1.0896,windows,0
functional,"O,P,R,W",R,1.703,windows,0
functional,"O,P,R,W",W,3.2464,windows,0
functional,"P,O,R,W",P,1.0684,windows,0
functional,"P,O,R,W",O,4.3855,windows,0
functional,"P,O,R,W",R,1.1428,windows,0
functional,"P,O,R,W",W,2.6897,windows,0
functional,"P,R,O,W",P,1.1115,windows,0
functional,"P,R,O,W",R,3.3197,windows,0
functional,"P,R,O,W",O,2.7056,windows,0
functional,"P,R,O,W",W,2.1888,windows,0
functional,"P,R,W,O",P,0.0,windows,0
functional,"P,R,W,O",R,1.5821,windows,0
functional,"P,R,W,O",W,0.0,windows,0
functional,"P,R,W,O",O,9.8591,windows,0
functional,"R,P,W,O",R,1.8297,windows,0
functional,"R,P,W,O",P,0.5097,windows,0
functional,"R,P,W,O",W,2.1976,windows,0
functional,"R,P,W,O",O,4.8124,windows,0
functional,"R,P,O,W",R,2.4636,windows,0
functional,"R,P,O,W",P,0.5571,windows,0
functional,"R,P,O,W",O,2.6876,windows,0
functional,"R,P,O,W",W,1.7539,windows,0
functional,"R,O,P,W",R,2.1784,windows,0
functional,"R,O,P,W",O,2.2643,windows,0
functional,"R,O,P,W",P,0.5582,windows,0
functional,"R,O,P,W",W,2.3539,windows,0
functional,"O,R,P,W",O,6.588,windows,0
functional,"O,R,P,W",R,1.6102,windows,0
functional,"O,R,P,W",P,1.0778,windows,0
functional,"O,R,P,W",W,1.6432,windows,0
functional,"O,R,W,P",O,4.452,windows,0
functional,"O,R,W,P",R,1.1021,windows,0
functional,"O,R,W,P",W,2.2633,windows,0
functional,"O,R,W,P",P,1.1315,windows,0
functional,"R,O,W,P",R,1.6385,windows,0
functional,"R,O,W,P",O,2.6991,windows,0
functional,"R,O,W,P",W,1.0967,windows,0
functional,"R,O,W,P",P,1.0468,windows,0
functional,"R,W,O,P",R,1.5096,windows,0
functional,"R,W,O,P",W,3.1473,windows,0
functional,"R,W,O,P",O,6.7349,windows,0
functional,"R,W,O,P",P,1.1243,windows,0
functional,"R,W,P,O",R,1.6225,windows,0
functional,"R,W,P,O",W,2.1642,windows,0
functional,"R,W,P,O",P,1.0884,windows,0
functional,"R,W,P,O",O,3.7936,windows,0
functional,"W,R,P,O",W,2.1947,windows,0
functional,"W,R,P,O",R,3.8301,windows,0
functional,"W,R,P,O",P,1.1055,windows,0
functional,"W,R,P,O",O,2.8438,windows,0
functional,"W,R,O,P",W,1.6403,windows,0
functional,"W,R,O,P",R,3.8923,windows,0
functional,"W,R,O,P",O,2.7323,windows,0
functional,"W,R,O,P",P,1.1269,windows,0
functional,"W,O,R,P",W,2.2266,windows,0
functional,"W,O,R,P",O,5.3748,windows,0
functional,"W,O,R,P",R,1.6857,windows,0
functional,"W,O,R,P",P,1.1471,windows,0
functional,"O,W,R,P",O,3.2311,windows,0
functional,"O,W,R,P",W,2.1961,windows,0
functional,"O,W,R,P",R,3.8393,windows,0
functional,"O,W,R,P",P,1.0929,windows,0
functional,"O,W,P,R",O,3.2227,windows,0
functional,"O,W,P,R",W,1.7462,windows,0
functional,"O,W,P,R",P,1.0928,windows,0
functional,"O,W,P,R",R,2.7985,windows,0
functional,"W,O,P,R",W,2.183,windows,0
functional,"W,O,P,R",O,4.3581,windows,0
functional,"W,O,P,R",P,0.5348999999999999,windows,0
functional,"W,O,P,R",R,1.6415,windows,0
functional,"W,P,O,R",W,2.19,windows,0
functional,"W,P,O,R",P,1.0823,windows,0
functional,"W,P,O,R",O,5.0253,windows,0
functional,"W,P,O,R",R,1.6354,windows,0
functional,"W,P,R,O",W,2.2331,windows,0
functional,"W,P,R,O",P,0.5624,windows,0
functional,"W,P,R,O",R,1.6304,windows,0
functional,"W,P,R,O",O,2.7262,windows,0
