paradigm,start_combination,func,time,system,start_property
functional,"P,W,R,O",P,0.019507,linux,1
functional,"P,W,R,O",W,0.06263,linux,1
functional,"P,W,R,O",R,0.087217,linux,1
functional,"P,W,R,O",O,0.16758099999999998,linux,1
functional,"P,W,O,R",P,0.070525,linux,1
functional,"P,W,O,R",W,0.080645,linux,1
functional,"P,W,O,R",O,0.187268,linux,1
functional,"P,W,O,R",R,0.07808899999999999,linux,1
functional,"P,O,W,R",P,0.10484,linux,1
functional,"P,O,W,R",O,0.171779,linux,1
functional,"P,O,W,R",W,0.065826,linux,1
functional,"P,O,W,R",R,0.06606699999999999,linux,1
functional,"O,P,W,R",O,0.139326,linux,1
functional,"O,P,W,R",P,0.01533,linux,1
functional,"O,P,W,R",W,0.058723,linux,1
functional,"O,P,W,R",R,0.068742,linux,1
functional,"O,P,R,W",O,0.16647800000000001,linux,1
functional,"O,P,R,W",P,0.016291,linux,1
functional,"O,P,R,W",R,0.102045,linux,1
functional,"O,P,R,W",W,0.045327,linux,1
functional,"P,O,R,W",P,0.017003,linux,1
functional,"P,O,R,W",O,0.176217,linux,1
functional,"P,O,R,W",R,0.057911000000000004,linux,1
functional,"P,O,R,W",W,0.071687,linux,1
functional,"P,R,O,W",P,0.234839,linux,1
functional,"P,R,O,W",R,0.093319,linux,1
functional,"P,R,O,W",O,0.153523,linux,1
functional,"P,R,O,W",W,0.08861,linux,1
functional,"P,R,W,O",P,0.08589400000000001,linux,1
functional,"P,R,W,O",R,0.114619,linux,1
functional,"P,R,W,O",W,0.046529,linux,1
functional,"P,R,W,O",O,0.146911,linux,1
functional,"R,P,W,O",R,0.106012,linux,1
functional,"R,P,W,O",P,0.09876900000000001,linux,1
functional,"R,P,W,O",W,0.075214,linux,1
functional,"R,P,W,O",O,0.163062,linux,1
functional,"R,P,O,W",R,0.085003,linux,1
functional,"R,P,O,W",P,0.01591,linux,1
functional,"R,P,O,W",O,0.126222,linux,1
functional,"R,P,O,W",W,0.040458,linux,1
functional,"R,O,P,W",R,0.051208,linux,1
functional,"R,O,P,W",O,0.114148,linux,1
functional,"R,O,P,W",P,0.010820999999999999,linux,1
functional,"R,O,P,W",W,0.048512,linux,1
functional,"O,R,P,W",O,0.119769,linux,1
functional,"O,R,P,W",R,0.057109,linux,1
functional,"O,R,P,W",P,0.09451999999999999,linux,1
functional,"O,R,P,W",W,0.059543,linux,1
functional,"O,R,W,P",O,0.12665200000000001,linux,1
functional,"O,R,W,P",R,0.070375,linux,1
functional,"O,R,W,P",W,0.076226,linux,1
functional,"O,R,W,P",P,0.118248,linux,1
functional,"R,O,W,P",R,0.115731,linux,1
functional,"R,O,W,P",O,0.22312700000000002,linux,1
functional,"R,O,W,P",W,0.055576,linux,1
functional,"R,O,W,P",P,0.058872,linux,1
functional,"R,W,O,P",R,0.078651,linux,1
functional,"R,W,O,P",W,0.175215,linux,1
functional,"R,W,O,P",O,0.19307,linux,1
functional,"R,W,O,P",P,0.131176,linux,1
functional,"R,W,P,O",R,0.098238,linux,1
functional,"R,W,P,O",W,0.054874,linux,1
functional,"R,W,P,O",P,0.018125,linux,1
functional,"R,W,P,O",O,0.159265,linux,1
functional,"W,R,P,O",W,0.052029000000000006,linux,1
functional,"W,R,P,O",R,0.066467,linux,1
functional,"W,R,P,O",P,0.014979,linux,1
functional,"W,R,P,O",O,0.141541,linux,1
functional,"W,R,O,P",W,0.044886,linux,1
functional,"W,R,O,P",R,0.065205,linux,1
functional,"W,R,O,P",O,0.136712,linux,1
functional,"W,R,O,P",P,0.046148,linux,1
functional,"W,O,R,P",W,0.054183999999999996,linux,1
functional,"W,O,R,P",O,0.12393699999999999,linux,1
functional,"W,O,R,P",R,0.061027,linux,1
functional,"W,O,R,P",P,0.021491,linux,1
functional,"O,W,R,P",O,0.144577,linux,1
functional,"O,W,R,P",W,0.050868000000000003,linux,1
functional,"O,W,R,P",R,0.06297,linux,1
functional,"O,W,R,P",P,0.017233000000000002,linux,1
functional,"O,W,P,R",O,0.134577,linux,1
functional,"O,W,P,R",W,0.046098,linux,1
functional,"O,W,P,R",P,0.09319799999999999,linux,1
functional,"O,W,P,R",R,0.371291,linux,1
functional,"W,O,P,R",W,0.05239,linux,1
functional,"W,O,P,R",O,0.113166,linux,1
functional,"W,O,P,R",P,0.012994,linux,1
functional,"W,O,P,R",R,0.053622,linux,1
functional,"W,P,O,R",W,0.044034,linux,1
functional,"W,P,O,R",P,0.055436,linux,1
functional,"W,P,O,R",O,0.124738,linux,1
functional,"W,P,O,R",R,0.045497,linux,1
functional,"W,P,R,O",W,0.043232999999999994,linux,1
functional,"W,P,R,O",P,0.011973000000000001,linux,1
functional,"W,P,R,O",R,0.057389,linux,1
functional,"W,P,R,O",O,0.13206299999999999,linux,1
