paradigm,start_combination,func,time,system,start_property
functional,"P,W,R,O",P,0.5133,windows,1
functional,"P,W,R,O",W,3.407,windows,1
functional,"P,W,R,O",R,3.7703,windows,1
functional,"P,W,R,O",O,3.2217,windows,1
functional,"P,W,O,R",P,0.5465,windows,1
functional,"P,W,O,R",W,2.1486,windows,1
functional,"P,W,O,R",O,4.3399,windows,1
functional,"P,W,O,R",R,1.6065,windows,1
functional,"P,O,W,R",P,0.7133999999999999,windows,1
functional,"P,O,W,R",O,2.6143,windows,1
functional,"P,O,W,R",W,2.5952,windows,1
functional,"P,O,W,R",R,3.0998,windows,1
functional,"O,P,W,R",O,0.0,windows,1
functional,"O,P,W,R",P,0.0,windows,1
functional,"O,P,W,R",W,5.7223,windows,1
functional,"O,P,W,R",R,3.2518,windows,1
functional,"O,P,R,W",O,2.6777,windows,1
functional,"O,P,R,W",P,1.0963,windows,1
functional,"O,P,R,W",R,1.1836,windows,1
functional,"O,P,R,W",W,1.6873,windows,1
functional,"P,O,R,W",P,1.1132,windows,1
functional,"P,O,R,W",O,2.9373,windows,1
functional,"P,O,R,W",R,1.6465,windows,1
functional,"P,O,R,W",W,1.6601,windows,1
functional,"P,R,O,W",P,0.555,windows,1
functional,"P,R,O,W",R,2.1779,windows,1
functional,"P,R,O,W",O,3.3772,windows,1
functional,"P,R,O,W",W,2.8093,windows,1
functional,"P,R,W,O",P,0.5675,windows,1
functional,"P,R,W,O",R,1.5509,windows,1
functional,"P,R,W,O",W,3.0632,windows,1
functional,"P,R,W,O",O,4.5643,windows,1
functional,"R,P,W,O",R,0.0,windows,1
functional,"R,P,W,O",P,0.0,windows,1
functional,"R,P,W,O",W,0.0,windows,1
functional,"R,P,W,O",O,10.6591,windows,1
functional,"R,P,O,W",R,1.6847,windows,1
functional,"R,P,O,W",P,1.1114,windows,1
functional,"R,P,O,W",O,3.3463,windows,1
functional,"R,P,O,W",W,2.805,windows,1
functional,"R,O,P,W",R,3.3349,windows,1
functional,"R,O,P,W",O,3.8504,windows,1
functional,"R,O,P,W",P,1.1096,windows,1
functional,"R,O,P,W",W,1.8696,windows,1
functional,"O,R,P,W",O,4.4235,windows,1
functional,"O,R,P,W",R,1.2284,windows,1
functional,"O,R,P,W",P,1.1328,windows,1
functional,"O,R,P,W",W,1.629,windows,1
functional,"O,R,W,P",O,4.6983,windows,1
functional,"O,R,W,P",R,2.1144,windows,1
functional,"O,R,W,P",W,1.6912,windows,1
functional,"O,R,W,P",P,1.1126,windows,1
functional,"R,O,W,P",R,1.6543,windows,1
functional,"R,O,W,P",O,2.8013,windows,1
functional,"R,O,W,P",W,1.626,windows,1
functional,"R,O,W,P",P,1.1108,windows,1
functional,"R,W,O,P",R,1.7835,windows,1
functional,"R,W,O,P",W,1.6466,windows,1
functional,"R,W,O,P",O,3.7757,windows,1
functional,"R,W,O,P",P,0.5446,windows,1
functional,"R,W,P,O",R,1.6331,windows,1
functional,"R,W,P,O",W,2.3579,windows,1
functional,"R,W,P,O",P,0.5475,windows,1
functional,"R,W,P,O",O,3.3229,windows,1
functional,"W,R,P,O",W,2.6318,windows,1
functional,"W,R,P,O",R,3.0488,windows,1
functional,"W,R,P,O",P,0.0,windows,1
functional,"W,R,P,O",O,0.0,windows,1
functional,"W,R,O,P",W,5.5667,windows,1
functional,"W,R,O,P",R,4.0711,windows,1
functional,"W,R,O,P",O,0.0,windows,1
functional,"W,R,O,P",P,6.5842,windows,1
functional,"W,O,R,P",W,2.2369,windows,1
functional,"W,O,R,P",O,6.2701,windows,1
functional,"W,O,R,P",R,2.2488,windows,1
functional,"W,O,R,P",P,0.5492,windows,1
functional,"O,W,R,P",O,2.7049,windows,1
functional,"O,W,R,P",W,1.7418,windows,1
functional,"O,W,R,P",R,3.2492,windows,1
functional,"O,W,R,P",P,0.5478,windows,1
functional,"O,W,P,R",O,4.5112,windows,1
functional,"O,W,P,R",W,1.8461,windows,1
functional,"O,W,P,R",P,0.7029,windows,1
functional,"O,W,P,R",R,2.7023,windows,1
functional,"W,O,P,R",W,2.2805,windows,1
functional,"W,O,P,R",O,5.6418,windows,1
functional,"W,O,P,R",P,0.5094,windows,1
functional,"W,O,P,R",R,1.6319,windows,1
functional,"W,P,O,R",W,1.6366,windows,1
functional,"W,P,O,R",P,1.0977,windows,1
functional,"W,P,O,R",O,3.2866,windows,1
functional,"W,P,O,R",R,1.6231,windows,1
functional,"W,P,R,O",W,2.7554,windows,1
functional,"W,P,R,O",P,1.0895,windows,1
functional,"W,P,R,O",R,2.8436,windows,1
functional,"W,P,R,O",O,2.5819,windows,1
