paradigm,start_combination,func,time,system,start_property
imperative,"P,W,R,O",P,0.013025,linux,0
imperative,"P,W,R,O",W,1.028376,linux,0
imperative,"P,W,R,O",R,0.07747799999999999,linux,0
imperative,"P,W,R,O",O,0.28009500000000004,linux,0
imperative,"P,W,O,R",P,0.130649,linux,0
imperative,"P,W,O,R",W,0.103938,linux,0
imperative,"P,W,O,R",O,0.21046199999999998,linux,0
imperative,"P,W,O,R",R,0.079101,linux,0
imperative,"P,O,W,R",P,0.017263,linux,0
imperative,"P,O,W,R",O,0.273882,linux,0
imperative,"P,O,W,R",W,0.052891,linux,0
imperative,"P,O,W,R",R,0.10268600000000001,linux,0
imperative,"O,P,W,R",O,0.19771799999999998,linux,0
imperative,"O,P,W,R",P,0.011942999999999999,linux,0
imperative,"O,P,W,R",W,0.044465000000000005,linux,0
imperative,"O,P,W,R",R,0.08928,linux,0
imperative,"O,P,R,W",O,0.16238999999999998,linux,0
imperative,"O,P,R,W",P,0.158712,linux,0
imperative,"O,P,R,W",R,0.10580200000000001,linux,0
imperative,"O,P,R,W",W,0.054504,linux,0
imperative,"P,O,R,W",P,0.018085,linux,0
imperative,"P,O,R,W",O,0.14765199999999998,linux,0
imperative,"P,O,R,W",R,0.053683,linux,0
imperative,"P,O,R,W",W,0.077017,linux,0
imperative,"P,R,O,W",P,0.09952,linux,0
imperative,"P,R,O,W",R,0.12072100000000001,linux,0
imperative,"P,R,O,W",O,0.11023000000000001,linux,0
imperative,"P,R,O,W",W,0.050897,linux,0
imperative,"P,R,W,O",P,0.018375,linux,0
imperative,"P,R,W,O",R,0.050696,linux,0
imperative,"P,R,W,O",W,0.051698,linux,0
imperative,"P,R,W,O",O,0.228486,linux,0
imperative,"R,P,W,O",R,0.043954,linux,0
imperative,"R,P,W,O",P,0.11723399999999999,linux,0
imperative,"R,P,W,O",W,0.049805,linux,0
imperative,"R,P,W,O",O,0.16723,linux,0
imperative,"R,P,O,W",R,0.063581,linux,0
imperative,"R,P,O,W",P,0.042832,linux,0
imperative,"R,P,O,W",O,0.14675,linux,0
imperative,"R,P,O,W",W,0.052891,linux,0
imperative,"R,O,P,W",R,0.105522,linux,0
imperative,"R,O,P,W",O,0.095793,linux,0
imperative,"R,O,P,W",P,0.246891,linux,0
imperative,"R,O,P,W",W,0.114869,linux,0
imperative,"O,R,P,W",O,0.143664,linux,0
imperative,"O,R,P,W",R,0.055365000000000004,linux,0
imperative,"O,R,P,W",P,0.149315,linux,0
imperative,"O,R,P,W",W,0.060806,linux,0
imperative,"O,R,W,P",O,0.16733,linux,0
imperative,"O,R,W,P",R,0.095973,linux,0
imperative,"O,R,W,P",W,0.043854,linux,0
imperative,"O,R,W,P",P,0.019457000000000002,linux,0
imperative,"R,O,W,P",R,0.071908,linux,0
imperative,"R,O,W,P",O,0.120059,linux,0
imperative,"R,O,W,P",W,0.036029000000000005,linux,0
imperative,"R,O,W,P",P,0.13323400000000002,linux,0
imperative,"R,W,O,P",R,0.06947199999999999,linux,0
imperative,"R,W,O,P",W,0.037091,linux,0
imperative,"R,W,O,P",O,0.131962,linux,0
imperative,"R,W,O,P",P,0.009939,linux,0
imperative,"R,W,P,O",R,0.043523000000000006,linux,0
imperative,"R,W,P,O",W,0.038031999999999996,linux,0
imperative,"R,W,P,O",P,0.16748,linux,0
imperative,"R,W,P,O",O,0.140328,linux,0
imperative,"W,R,P,O",W,0.2984,linux,0
imperative,"W,R,P,O",R,0.046058,linux,0
imperative,"W,R,P,O",P,0.088298,linux,0
imperative,"W,R,P,O",O,0.142091,linux,0
imperative,"W,R,O,P",W,0.052090000000000004,linux,0
imperative,"W,R,O,P",R,0.32728500000000005,linux,0
imperative,"W,R,O,P",O,0.12930699999999998,linux,0
imperative,"W,R,O,P",P,0.01025,linux,0
imperative,"W,O,R,P",W,0.041549,linux,0
imperative,"W,O,R,P",O,0.262561,linux,0
imperative,"W,O,R,P",R,0.052711,linux,0
imperative,"W,O,R,P",P,0.071747,linux,0
imperative,"O,W,R,P",O,0.158622,linux,0
imperative,"O,W,R,P",W,0.056208,linux,0
imperative,"O,W,R,P",R,0.059965000000000004,linux,0
imperative,"O,W,R,P",P,0.050095,linux,0
imperative,"O,W,P,R",O,0.15005600000000002,linux,0
imperative,"O,W,P,R",W,0.039996000000000004,linux,0
imperative,"O,W,P,R",P,0.047631,linux,0
imperative,"O,W,P,R",R,0.116773,linux,0
imperative,"W,O,P,R",W,0.039726,linux,0
imperative,"W,O,P,R",O,0.12123099999999999,linux,0
imperative,"W,O,P,R",P,0.010169000000000001,linux,0
imperative,"W,O,P,R",R,0.046289000000000004,linux,0
imperative,"W,P,O,R",W,0.037772,linux,0
imperative,"W,P,O,R",P,0.040748,linux,0
imperative,"W,P,O,R",O,0.129487,linux,0
imperative,"W,P,O,R",R,0.056207,linux,0
imperative,"W,P,R,O",W,0.037982,linux,0
imperative,"W,P,R,O",P,0.060195,linux,0
imperative,"W,P,R,O",R,0.055606,linux,0
imperative,"W,P,R,O",O,0.13885499999999998,linux,0
