paradigm,start_combination,func,time,system,start_property
imperative,"P,W,R,O",P,1.0966,windows,0
imperative,"P,W,R,O",W,2.2319,windows,0
imperative,"P,W,R,O",R,9.3791,windows,0
imperative,"P,W,R,O",O,3.3573,windows,0
imperative,"P,W,O,R",P,0.6073,windows,0
imperative,"P,W,O,R",W,2.2547,windows,0
imperative,"P,W,O,R",O,12.0481,windows,0
imperative,"P,W,O,R",R,1.8769,windows,0
imperative,"P,O,W,R",P,0.5112,windows,0
imperative,"P,O,W,R",O,3.8015,windows,0
imperative,"P,O,W,R",W,2.4501,windows,0
imperative,"P,O,W,R",R,2.8939,windows,0
imperative,"O,P,W,R",O,2.7877,windows,0
imperative,"O,P,W,R",P,1.0968,windows,0
imperative,"O,P,W,R",W,1.6418,windows,0
imperative,"O,P,W,R",R,3.7944,windows,0
imperative,"O,P,R,W",O,3.0232,windows,0
imperative,"O,P,R,W",P,0.562,windows,0
imperative,"O,P,R,W",R,1.588,windows,0
imperative,"O,P,R,W",W,1.1062,windows,0
imperative,"P,O,R,W",P,0.0,windows,0
imperative,"P,O,R,W",O,0.6113,windows,0
imperative,"P,O,R,W",R,0.0,windows,0
imperative,"P,O,R,W",W,0.0,windows,0
imperative,"P,R,O,W",P,0.0,windows,0
imperative,"P,R,O,W",R,5.5092,windows,0
imperative,"P,R,O,W",O,0.0,windows,0
imperative,"P,R,O,W",W,0.0,windows,0
imperative,"P,R,W,O",P,6.555,windows,0
imperative,"P,R,W,O",R,0.0,windows,0
imperative,"P,R,W,O",W,4.0963,windows,0
imperative,"P,R,W,O",O,4.9239,windows,0
imperative,"R,P,W,O",R,1.6315,windows,0
imperative,"R,P,W,O",P,1.1568,windows,0
imperative,"R,P,W,O",W,2.1376,windows,0
imperative,"R,P,W,O",O,4.8703,windows,0
imperative,"R,P,O,W",R,1.6308,windows,0
imperative,"R,P,O,W",P,0.6347,windows,0
imperative,"R,P,O,W",O,2.7001,windows,0
imperative,"R,P,O,W",W,1.6209,windows,0
imperative,"R,O,P,W",R,3.3206,windows,0
imperative,"R,O,P,W",O,2.1567,windows,0
imperative,"R,O,P,W",P,1.04,windows,0
imperative,"R,O,P,W",W,1.6916,windows,0
imperative,"O,R,P,W",O,3.0659,windows,0
imperative,"O,R,P,W",R,5.6004,windows,0
imperative,"O,R,P,W",P,1.5132,windows,0
imperative,"O,R,P,W",W,0.0,windows,0
imperative,"O,R,W,P",O,0.0,windows,0
imperative,"O,R,W,P",R,9.0734,windows,0
imperative,"O,R,W,P",W,2.313,windows,0
imperative,"O,R,W,P",P,1.1611,windows,0
imperative,"R,O,W,P",R,2.8965,windows,0
imperative,"R,O,W,P",O,2.1367,windows,0
imperative,"R,O,W,P",W,1.6335,windows,0
imperative,"R,O,W,P",P,1.0747,windows,0
imperative,"R,W,O,P",R,1.6754,windows,0
imperative,"R,W,O,P",W,2.1629,windows,0
imperative,"R,W,O,P",O,5.5756,windows,0
imperative,"R,W,O,P",P,0.7196,windows,0
imperative,"R,W,P,O",R,1.6355,windows,0
imperative,"R,W,P,O",W,1.6586,windows,0
imperative,"R,W,P,O",P,0.5678,windows,0
imperative,"R,W,P,O",O,4.8642,windows,0
imperative,"W,R,P,O",W,2.7958,windows,0
imperative,"W,R,P,O",R,3.9174,windows,0
imperative,"W,R,P,O",P,0.546,windows,0
imperative,"W,R,P,O",O,3.2846,windows,0
imperative,"W,R,O,P",W,2.2446,windows,0
imperative,"W,R,O,P",R,2.7236,windows,0
imperative,"W,R,O,P",O,2.2018,windows,0
imperative,"W,R,O,P",P,1.0516,windows,0
imperative,"W,O,R,P",W,1.5495,windows,0
imperative,"W,O,R,P",O,3.063,windows,0
imperative,"W,O,R,P",R,6.7278,windows,0
imperative,"W,O,R,P",P,1.1762,windows,0
imperative,"O,W,R,P",O,3.2357,windows,0
imperative,"O,W,R,P",W,2.2969,windows,0
imperative,"O,W,R,P",R,3.2795,windows,0
imperative,"O,W,R,P",P,1.0865,windows,0
imperative,"O,W,P,R",O,2.7034,windows,0
imperative,"O,W,P,R",W,1.6924,windows,0
imperative,"O,W,P,R",P,1.1199,windows,0
imperative,"O,W,P,R",R,3.0949,windows,0
imperative,"W,O,P,R",W,2.1845,windows,0
imperative,"W,O,P,R",O,6.0113,windows,0
imperative,"W,O,P,R",P,0.535,windows,0
imperative,"W,O,P,R",R,1.6465,windows,0
imperative,"W,P,O,R",W,2.6841,windows,0
imperative,"W,P,O,R",P,0.0,windows,0
imperative,"W,P,O,R",O,3.0174,windows,0
imperative,"W,P,O,R",R,0.0,windows,0
imperative,"W,P,R,O",W,6.126,windows,0
imperative,"W,P,R,O",P,1.1893,windows,0
imperative,"W,P,R,O",R,2.4103,windows,0
imperative,"W,P,R,O",O,3.9941,windows,0
