paradigm,start_combination,func,time,system,start_property
imperative,"P,W,R,O",P,0.013314999999999999,linux,1
imperative,"P,W,R,O",W,0.063171,linux,1
imperative,"P,W,R,O",R,0.107836,linux,1
imperative,"P,W,R,O",O,0.143113,linux,1
imperative,"P,W,O,R",P,0.066747,linux,1
imperative,"P,W,O,R",W,0.075765,linux,1
imperative,"P,W,O,R",O,0.16247999999999999,linux,1
imperative,"P,W,O,R",R,0.16517500000000002,linux,1
imperative,"P,O,W,R",P,0.016231000000000002,linux,1
imperative,"P,O,W,R",O,0.184773,linux,1
imperative,"P,O,W,R",W,0.08206699999999999,linux,1
imperative,"P,O,W,R",R,0.07747799999999999,linux,1
imperative,"O,P,W,R",O,0.129728,linux,1
imperative,"O,P,W,R",P,0.013576000000000001,linux,1
imperative,"O,P,W,R",W,0.062348999999999995,linux,1
imperative,"O,P,W,R",R,0.075795,linux,1
imperative,"O,P,R,W",O,0.14671,linux,1
imperative,"O,P,R,W",P,0.047750999999999995,linux,1
imperative,"O,P,R,W",R,0.078439,linux,1
imperative,"O,P,R,W",W,0.053252,linux,1
imperative,"P,O,R,W",P,0.017082,linux,1
imperative,"P,O,R,W",O,0.139757,linux,1
imperative,"P,O,R,W",R,0.06636700000000001,linux,1
imperative,"P,O,R,W",W,0.062429000000000005,linux,1
imperative,"P,R,O,W",P,0.10624299999999999,linux,1
imperative,"P,R,O,W",R,0.066226,linux,1
imperative,"P,R,O,W",O,0.18337,linux,1
imperative,"P,R,O,W",W,0.072499,linux,1
imperative,"P,R,W,O",P,0.059753999999999995,linux,1
imperative,"P,R,W,O",R,0.08401,linux,1
imperative,"P,R,W,O",W,0.06467300000000001,linux,1
imperative,"P,R,W,O",O,0.16814099999999998,linux,1
imperative,"R,P,W,O",R,0.100853,linux,1
imperative,"R,P,W,O",P,0.020119,linux,1
imperative,"R,P,W,O",W,0.103938,linux,1
imperative,"R,P,W,O",O,0.142692,linux,1
imperative,"R,P,O,W",R,0.078179,linux,1
imperative,"R,P,O,W",P,0.191946,linux,1
imperative,"R,P,O,W",O,0.197186,linux,1
imperative,"R,P,O,W",W,0.075945,linux,1
imperative,"R,O,P,W",R,0.15540700000000002,linux,1
imperative,"R,O,P,W",O,0.20394,linux,1
imperative,"R,O,P,W",P,0.116873,linux,1
imperative,"R,O,P,W",W,0.061607,linux,1
imperative,"O,R,P,W",O,0.158703,linux,1
imperative,"O,R,P,W",R,0.06288,linux,1
imperative,"O,R,P,W",P,0.06302,linux,1
imperative,"O,R,P,W",W,0.052801,linux,1
imperative,"O,R,W,P",O,0.14939599999999997,linux,1
imperative,"O,R,W,P",R,0.071226,linux,1
imperative,"O,R,W,P",W,0.056188,linux,1
imperative,"O,R,W,P",P,0.06795,linux,1
imperative,"R,O,W,P",R,0.098959,linux,1
imperative,"R,O,W,P",O,0.154715,linux,1
imperative,"R,O,W,P",W,0.056898000000000004,linux,1
imperative,"R,O,W,P",P,0.014478,linux,1
imperative,"R,W,O,P",R,0.086285,linux,1
imperative,"R,W,O,P",W,0.053873,linux,1
imperative,"R,W,O,P",O,0.150498,linux,1
imperative,"R,W,O,P",P,0.18299,linux,1
imperative,"R,W,P,O",R,0.08381999999999999,linux,1
imperative,"R,W,P,O",W,0.048814,linux,1
imperative,"R,W,P,O",P,0.053982999999999996,linux,1
imperative,"R,W,P,O",O,0.13275399999999998,linux,1
imperative,"W,R,P,O",W,0.046228,linux,1
imperative,"W,R,P,O",R,0.062479,linux,1
imperative,"W,R,P,O",P,0.097816,linux,1
imperative,"W,R,P,O",O,0.15493600000000002,linux,1
imperative,"W,R,O,P",W,0.058962,linux,1
imperative,"W,R,O,P",R,0.067869,linux,1
imperative,"W,R,O,P",O,0.13712200000000002,linux,1
imperative,"W,R,O,P",P,0.012483000000000001,linux,1
imperative,"W,O,R,P",W,0.056017000000000004,linux,1
imperative,"W,O,R,P",O,0.11544,linux,1
imperative,"W,O,R,P",R,0.061537999999999995,linux,1
imperative,"W,O,R,P",P,0.111011,linux,1
imperative,"O,W,R,P",O,0.13322499999999998,linux,1
imperative,"O,W,R,P",W,0.047890999999999996,linux,1
imperative,"O,W,R,P",R,0.050897,linux,1
imperative,"O,W,R,P",P,0.013777,linux,1
imperative,"O,W,P,R",O,0.091846,linux,1
imperative,"O,W,P,R",W,0.036259,linux,1
imperative,"O,W,P,R",P,0.03686,linux,1
imperative,"O,W,P,R",R,0.045476,linux,1
imperative,"W,O,P,R",W,0.368363,linux,1
imperative,"W,O,P,R",O,0.13077,linux,1
imperative,"W,O,P,R",P,0.090863,linux,1
imperative,"W,O,P,R",R,0.26283300000000004,linux,1
imperative,"W,P,O,R",W,0.076736,linux,1
imperative,"W,P,O,R",P,0.012734,linux,1
imperative,"W,P,O,R",O,0.153363,linux,1
imperative,"W,P,O,R",R,0.066927,linux,1
imperative,"W,P,R,O",W,0.056688,linux,1
imperative,"W,P,R,O",P,0.09898900000000001,linux,1
imperative,"W,P,R,O",R,0.077127,linux,1
imperative,"W,P,R,O",O,0.120119,linux,1
