paradigm,start_combination,func,time,system,start_property
imperative,"P,W,R,O",P,0.5084,windows,1
imperative,"P,W,R,O",W,2.7802,windows,1
imperative,"P,W,R,O",R,3.8461,windows,1
imperative,"P,W,R,O",O,3.3485,windows,1
imperative,"P,W,O,R",P,0.5574,windows,1
imperative,"P,W,O,R",W,2.1669,windows,1
imperative,"P,W,O,R",O,5.0696,windows,1
imperative,"P,W,O,R",R,1.5996,windows,1
imperative,"P,O,W,R",P,0.5608,windows,1
imperative,"P,O,W,R",O,2.1187,windows,1
imperative,"P,O,W,R",W,0.0,windows,1
imperative,"P,O,W,R",R,3.1037,windows,1
imperative,"O,P,W,R",O,0.0,windows,1
imperative,"O,P,W,R",P,7.0824,windows,1
imperative,"O,P,W,R",W,2.2793,windows,1
imperative,"O,P,W,R",R,3.8619,windows,1
imperative,"O,P,R,W",O,3.2231,windows,1
imperative,"O,P,R,W",P,1.1141,windows,1
imperative,"O,P,R,W",R,1.1279,windows,1
imperative,"O,P,R,W",W,2.2902,windows,1
imperative,"P,O,R,W",P,1.077,windows,1
imperative,"P,O,R,W",O,3.3228,windows,1
imperative,"P,O,R,W",R,1.0891,windows,1
imperative,"P,O,R,W",W,1.6949,windows,1
imperative,"P,R,O,W",P,1.1133,windows,1
imperative,"P,R,O,W",R,1.0826,windows,1
imperative,"P,R,O,W",O,2.6901,windows,1
imperative,"P,R,O,W",W,2.4953,windows,1
imperative,"P,R,W,O",P,0.5486,windows,1
imperative,"P,R,W,O",R,2.3415,windows,1
imperative,"P,R,W,O",W,2.145,windows,1
imperative,"P,R,W,O",O,5.4711,windows,1
imperative,"R,P,W,O",R,1.6848,windows,1
imperative,"R,P,W,O",P,1.1001,windows,1
imperative,"R,P,W,O",W,1.6679,windows,1
imperative,"R,P,W,O",O,6.58,windows,1
imperative,"R,P,O,W",R,1.6434,windows,1
imperative,"R,P,O,W",P,0.5581,windows,1
imperative,"R,P,O,W",O,2.7951,windows,1
imperative,"R,P,O,W",W,2.8615,windows,1
imperative,"R,O,P,W",R,3.2944,windows,1
imperative,"R,O,P,W",O,3.2749,windows,1
imperative,"R,O,P,W",P,0.5699,windows,1
imperative,"R,O,P,W",W,1.7463,windows,1
imperative,"O,R,P,W",O,4.5761,windows,1
imperative,"O,R,P,W",R,1.7118,windows,1
imperative,"O,R,P,W",P,1.0502,windows,1
imperative,"O,R,P,W",W,1.7011,windows,1
imperative,"O,R,W,P",O,4.6248,windows,1
imperative,"O,R,W,P",R,0.0,windows,1
imperative,"O,R,W,P",W,3.5408,windows,1
imperative,"O,R,W,P",P,0.0,windows,1
imperative,"R,O,W,P",R,0.0,windows,1
imperative,"R,O,W,P",O,0.0,windows,1
imperative,"R,O,W,P",W,0.0,windows,1
imperative,"R,O,W,P",P,10.0854,windows,1
imperative,"R,W,O,P",R,3.4129,windows,1
imperative,"R,W,O,P",W,2.8409,windows,1
imperative,"R,W,O,P",O,4.8404,windows,1
imperative,"R,W,O,P",P,1.172,windows,1
imperative,"R,W,P,O",R,1.6396,windows,1
imperative,"R,W,P,O",W,2.1872,windows,1
imperative,"R,W,P,O",P,1.1787,windows,1
imperative,"R,W,P,O",O,3.7597,windows,1
imperative,"W,R,P,O",W,2.1915,windows,1
imperative,"W,R,P,O",R,3.8498,windows,1
imperative,"W,R,P,O",P,0.5574,windows,1
imperative,"W,R,P,O",O,2.6826,windows,1
imperative,"W,R,O,P",W,2.2049,windows,1
imperative,"W,R,O,P",R,2.7842,windows,1
imperative,"W,R,O,P",O,3.0164,windows,1
imperative,"W,R,O,P",P,0.0,windows,1
imperative,"W,O,R,P",W,0.0,windows,1
imperative,"W,O,R,P",O,7.6218,windows,1
imperative,"W,O,R,P",R,0.0,windows,1
imperative,"W,O,R,P",P,0.0,windows,1
imperative,"O,W,R,P",O,8.606,windows,1
imperative,"O,W,R,P",W,1.7825,windows,1
imperative,"O,W,R,P",R,3.0691,windows,1
imperative,"O,W,R,P",P,0.6102000000000001,windows,1
imperative,"O,W,P,R",O,2.7821,windows,1
imperative,"O,W,P,R",W,2.2767,windows,1
imperative,"O,W,P,R",P,1.0778,windows,1
imperative,"O,W,P,R",R,1.6471,windows,1
imperative,"W,O,P,R",W,2.3074,windows,1
imperative,"W,O,P,R",O,5.5919,windows,1
imperative,"W,O,P,R",P,0.511,windows,1
imperative,"W,O,P,R",R,1.6408,windows,1
imperative,"W,P,O,R",W,1.6818,windows,1
imperative,"W,P,O,R",P,1.1136,windows,1
imperative,"W,P,O,R",O,3.0302,windows,1
imperative,"W,P,O,R",R,1.1771,windows,1
imperative,"W,P,R,O",W,1.7339,windows,1
imperative,"W,P,R,O",P,1.0209,windows,1
imperative,"W,P,R,O",R,1.6159,windows,1
imperative,"W,P,R,O",O,3.0182,windows,1
