paradigm,start_combination,func,time,system,start_property
objectively,"P,W,R,O",P,0.012554000000000001,linux,0
objectively,"P,W,R,O",W,0.976682,linux,0
objectively,"P,W,R,O",R,0.07127599999999999,linux,0
objectively,"P,W,R,O",O,0.14065899999999998,linux,0
objectively,"P,W,O,R",P,0.058953000000000005,linux,0
objectively,"P,W,O,R",W,0.091605,linux,0
objectively,"P,W,O,R",O,0.191135,linux,0
objectively,"P,W,O,R",R,0.08299899999999999,linux,0
objectively,"P,O,W,R",P,0.056227,linux,0
objectively,"P,O,W,R",O,0.170696,linux,0
objectively,"P,O,W,R",W,0.06342199999999999,linux,0
objectively,"P,O,W,R",R,0.086877,linux,0
objectively,"O,P,W,R",O,0.171829,linux,0
objectively,"O,P,W,R",P,0.012324,linux,0
objectively,"O,P,W,R",W,0.058822,linux,0
objectively,"O,P,W,R",R,0.069122,linux,0
objectively,"O,P,R,W",O,0.163923,linux,0
objectively,"O,P,R,W",P,0.017082,linux,0
objectively,"O,P,R,W",R,0.093609,linux,0
objectively,"O,P,R,W",W,0.045056,linux,0
objectively,"P,O,R,W",P,0.010761,linux,0
objectively,"P,O,R,W",O,0.135139,linux,0
objectively,"P,O,R,W",R,0.055125,linux,0
objectively,"P,O,R,W",W,0.06385199999999999,linux,0
objectively,"P,R,O,W",P,0.106534,linux,0
objectively,"P,R,O,W",R,0.063332,linux,0
objectively,"P,R,O,W",O,0.12889599999999998,linux,0
objectively,"P,R,O,W",W,0.06254,linux,0
objectively,"P,R,W,O",P,0.010379,linux,0
objectively,"P,R,W,O",R,0.061758,linux,0
objectively,"P,R,W,O",W,0.059184,linux,0
objectively,"P,R,W,O",O,0.187909,linux,0
objectively,"R,P,W,O",R,0.065906,linux,0
objectively,"R,P,W,O",P,0.012304,linux,0
objectively,"R,P,W,O",W,0.058121,linux,0
objectively,"R,P,W,O",O,0.20899,linux,0
objectively,"R,P,O,W",R,0.09425,linux,0
objectively,"R,P,O,W",P,0.060846,linux,0
objectively,"R,P,O,W",O,0.210022,linux,0
objectively,"R,P,O,W",W,0.093669,linux,0
objectively,"R,O,P,W",R,0.122545,linux,0
objectively,"R,O,P,W",O,0.161028,linux,0
objectively,"R,O,P,W",P,0.012234,linux,0
objectively,"R,O,P,W",W,0.065515,linux,0
objectively,"O,R,P,W",O,0.136852,linux,0
objectively,"O,R,P,W",R,0.056076999999999995,linux,0
objectively,"O,R,P,W",P,0.012293,linux,0
objectively,"O,R,P,W",W,0.058381999999999996,linux,0
objectively,"O,R,W,P",O,0.133926,linux,0
objectively,"O,R,W,P",R,0.109489,linux,0
objectively,"O,R,W,P",W,0.071597,linux,0
objectively,"O,R,W,P",P,0.091605,linux,0
objectively,"R,O,W,P",R,0.061518,linux,0
objectively,"R,O,W,P",O,0.125009,linux,0
objectively,"R,O,W,P",W,0.050086,linux,0
objectively,"R,O,W,P",P,0.037572,linux,0
objectively,"R,W,O,P",R,0.073491,linux,0
objectively,"R,W,O,P",W,0.116263,linux,0
objectively,"R,W,O,P",O,0.098218,linux,0
objectively,"R,W,O,P",P,0.010119,linux,0
objectively,"R,W,P,O",R,0.06479399999999999,linux,0
objectively,"R,W,P,O",W,0.043112000000000004,linux,0
objectively,"R,W,P,O",P,0.208869,linux,0
objectively,"R,W,P,O",O,0.118437,linux,0
objectively,"W,R,P,O",W,0.051819000000000004,linux,0
objectively,"W,R,P,O",R,0.04689,linux,0
objectively,"W,R,P,O",P,0.047181,linux,0
objectively,"W,R,P,O",O,0.147623,linux,0
objectively,"W,R,O,P",W,0.064513,linux,0
objectively,"W,R,O,P",R,0.29958300000000004,linux,0
objectively,"W,R,O,P",O,0.100412,linux,0
objectively,"W,R,O,P",P,0.01047,linux,0
objectively,"W,O,R,P",W,0.074804,linux,0
objectively,"W,O,R,P",O,0.100502,linux,0
objectively,"W,O,R,P",R,0.065324,linux,0
objectively,"W,O,R,P",P,0.020499,linux,0
objectively,"O,W,R,P",O,0.117875,linux,0
objectively,"O,W,R,P",W,0.040277,linux,0
objectively,"O,W,R,P",R,0.047200000000000006,linux,0
objectively,"O,W,R,P",P,0.053092,linux,0
objectively,"O,W,P,R",O,0.114589,linux,0
objectively,"O,W,P,R",W,0.037943,linux,0
objectively,"O,W,P,R",P,0.015550000000000001,linux,0
objectively,"O,W,P,R",R,0.05214,linux,0
objectively,"W,O,P,R",W,0.048012,linux,0
objectively,"W,O,P,R",O,0.133415,linux,0
objectively,"W,O,P,R",P,0.010148999999999998,linux,0
objectively,"W,O,P,R",R,0.07085599999999999,linux,0
objectively,"W,P,O,R",W,0.06271,linux,0
objectively,"W,P,O,R",P,0.051017,linux,0
objectively,"W,P,O,R",O,0.141691,linux,0
objectively,"W,P,O,R",R,0.066848,linux,0
objectively,"W,P,R,O",W,0.051489,linux,0
objectively,"W,P,R,O",P,0.01071,linux,0
objectively,"W,P,R,O",R,0.06413200000000001,linux,0
objectively,"W,P,R,O",O,0.135769,linux,0
