paradigm,start_combination,func,time,system,start_property
objectively,"P,W,R,O",P,1.2221,windows,0
objectively,"P,W,R,O",W,2.9476,windows,0
objectively,"P,W,R,O",R,12.5199,windows,0
objectively,"P,W,R,O",O,4.4944,windows,0
objectively,"P,W,O,R",P,1.1219,windows,0
objectively,"P,W,O,R",W,2.7629,windows,0
objectively,"P,W,O,R",O,10.5537,windows,0
objectively,"P,W,O,R",R,1.8175,windows,0
objectively,"P,O,W,R",P,1.0558,windows,0
objectively,"P,O,W,R",O,3.3643,windows,0
objectively,"P,O,W,R",W,2.7767,windows,0
objectively,"P,O,W,R",R,2.7306,windows,0
objectively,"O,P,W,R",O,3.3777,windows,0
objectively,"O,P,W,R",P,0.5337999999999999,windows,0
objectively,"O,P,W,R",W,3.2953,windows,0
objectively,"O,P,W,R",R,3.3859,windows,0
objectively,"O,P,R,W",O,3.3136,windows,0
objectively,"O,P,R,W",P,1.1926,windows,0
objectively,"O,P,R,W",R,1.2132,windows,0
objectively,"O,P,R,W",W,2.175,windows,0
objectively,"P,O,R,W",P,1.0434,windows,0
objectively,"P,O,R,W",O,1.5638,windows,0
objectively,"P,O,R,W",R,3.1028,windows,0
objectively,"P,O,R,W",W,0.0,windows,0
objectively,"P,R,O,W",P,0.0,windows,0
objectively,"P,R,O,W",R,5.5112,windows,0
objectively,"P,R,O,W",O,1.057,windows,0
objectively,"P,R,O,W",W,0.0,windows,0
objectively,"P,R,W,O",P,0.0,windows,0
objectively,"P,R,W,O",R,9.0873,windows,0
objectively,"P,R,W,O",W,2.223,windows,0
objectively,"P,R,W,O",O,5.4353,windows,0
objectively,"R,P,W,O",R,1.0682,windows,0
objectively,"R,P,W,O",P,1.0747,windows,0
objectively,"R,P,W,O",W,1.6305,windows,0
objectively,"R,P,W,O",O,4.8575,windows,0
objectively,"R,P,O,W",R,1.6471,windows,0
objectively,"R,P,O,W",P,1.2799,windows,0
objectively,"R,P,O,W",O,2.7914,windows,0
objectively,"R,P,O,W",W,2.1952,windows,0
objectively,"R,O,P,W",R,3.2601,windows,0
objectively,"R,O,P,W",O,2.7501,windows,0
objectively,"R,O,P,W",P,0.5438999999999999,windows,0
objectively,"R,O,P,W",W,2.6951,windows,0
objectively,"O,R,P,W",O,5.9362,windows,0
objectively,"O,R,P,W",R,2.1932,windows,0
objectively,"O,R,P,W",P,0.598,windows,0
objectively,"O,R,P,W",W,2.681,windows,0
objectively,"O,R,W,P",O,6.6896,windows,0
objectively,"O,R,W,P",R,1.2242,windows,0
objectively,"O,R,W,P",W,2.8512,windows,0
objectively,"O,R,W,P",P,1.0662,windows,0
objectively,"R,O,W,P",R,2.706,windows,0
objectively,"R,O,W,P",O,2.7466,windows,0
objectively,"R,O,W,P",W,3.464,windows,0
objectively,"R,O,W,P",P,1.0097,windows,0
objectively,"R,W,O,P",R,1.5571,windows,0
objectively,"R,W,O,P",W,0.0,windows,0
objectively,"R,W,O,P",O,8.62,windows,0
objectively,"R,W,O,P",P,1.0695,windows,0
objectively,"R,W,P,O",R,1.5985,windows,0
objectively,"R,W,P,O",W,2.8143,windows,0
objectively,"R,W,P,O",P,0.5607000000000001,windows,0
objectively,"R,W,P,O",O,4.37,windows,0
objectively,"W,R,P,O",W,2.3643,windows,0
objectively,"W,R,P,O",R,4.5869,windows,0
objectively,"W,R,P,O",P,1.2359,windows,0
objectively,"W,R,P,O",O,4.2923,windows,0
objectively,"W,R,O,P",W,2.2466,windows,0
objectively,"W,R,O,P",R,2.6939,windows,0
objectively,"W,R,O,P",O,3.1411,windows,0
objectively,"W,R,O,P",P,0.0,windows,0
objectively,"W,O,R,P",W,3.1189,windows,0
objectively,"W,O,R,P",O,0.0,windows,0
objectively,"W,O,R,P",R,6.3446,windows,0
objectively,"W,O,R,P",P,0.578,windows,0
objectively,"O,W,R,P",O,2.993,windows,0
objectively,"O,W,R,P",W,4.6134,windows,0
objectively,"O,W,R,P",R,3.4164,windows,0
objectively,"O,W,R,P",P,0.5111,windows,0
objectively,"O,W,P,R",O,2.8943,windows,0
objectively,"O,W,P,R",W,1.6292,windows,0
objectively,"O,W,P,R",P,0.6227,windows,0
objectively,"O,W,P,R",R,2.1966,windows,0
objectively,"W,O,P,R",W,2.2282,windows,0
objectively,"W,O,P,R",O,4.366,windows,0
objectively,"W,O,P,R",P,1.605,windows,0
objectively,"W,O,P,R",R,0.0,windows,0
objectively,"W,P,O,R",W,4.9189,windows,0
objectively,"W,P,O,R",P,1.1185,windows,0
objectively,"W,P,O,R",O,4.3057,windows,0
objectively,"W,P,O,R",R,2.2223,windows,0
objectively,"W,P,R,O",W,2.159,windows,0
objectively,"W,P,R,O",P,0.612,windows,0
objectively,"W,P,R,O",R,1.1141,windows,0
objectively,"W,P,R,O",O,2.7953,windows,0
