paradigm,start_combination,func,time,system,start_property
objectively,"P,W,R,O",P,0.015159,linux,1
objectively,"P,W,R,O",W,0.070294,linux,1
objectively,"P,W,R,O",R,0.074302,linux,1
objectively,"P,W,R,O",O,0.164345,linux,1
objectively,"P,W,O,R",P,0.064774,linux,1
objectively,"P,W,O,R",W,0.06907200000000001,linux,1
objectively,"P,W,O,R",O,0.197608,linux,1
objectively,"P,W,O,R",R,0.064133,linux,1
objectively,"P,O,W,R",P,0.06308,linux,1
objectively,"P,O,W,R",O,0.155668,linux,1
objectively,"P,O,W,R",W,0.059624,linux,1
objectively,"P,O,W,R",R,0.056218000000000004,linux,1
objectively,"O,P,W,R",O,0.148434,linux,1
objectively,"O,P,W,R",P,0.10998999999999999,linux,1
objectively,"O,P,W,R",W,0.070555,linux,1
objectively,"O,P,W,R",R,0.07304000000000001,linux,1
objectively,"O,P,R,W",O,0.277918,linux,1
objectively,"O,P,R,W",P,0.013616,linux,1
objectively,"O,P,R,W",R,0.093399,linux,1
objectively,"O,P,R,W",W,0.054645000000000006,linux,1
objectively,"P,O,R,W",P,0.012083,linux,1
objectively,"P,O,R,W",O,0.172821,linux,1
objectively,"P,O,R,W",R,0.066467,linux,1
objectively,"P,O,R,W",W,0.07711799999999999,linux,1
objectively,"P,R,O,W",P,0.048633,linux,1
objectively,"P,R,O,W",R,0.097827,linux,1
objectively,"P,R,O,W",O,0.095914,linux,1
objectively,"P,R,O,W",W,0.037822,linux,1
objectively,"P,R,W,O",P,0.008846999999999999,linux,1
objectively,"P,R,W,O",R,0.068491,linux,1
objectively,"P,R,W,O",W,0.037420999999999996,linux,1
objectively,"P,R,W,O",O,0.10445,linux,1
objectively,"R,P,W,O",R,0.04714,linux,1
objectively,"R,P,W,O",P,0.090764,linux,1
objectively,"R,P,W,O",W,0.055877,linux,1
objectively,"R,P,W,O",O,0.146059,linux,1
objectively,"R,P,O,W",R,0.051448999999999995,linux,1
objectively,"R,P,O,W",P,0.011532,linux,1
objectively,"R,P,O,W",O,0.130971,linux,1
objectively,"R,P,O,W",W,0.050156,linux,1
objectively,"R,O,P,W",R,0.06424200000000001,linux,1
objectively,"R,O,P,W",O,0.113908,linux,1
objectively,"R,O,P,W",P,0.012805,linux,1
objectively,"R,O,P,W",W,0.045517,linux,1
objectively,"O,R,P,W",O,0.12368699999999999,linux,1
objectively,"O,R,P,W",R,0.06933199999999999,linux,1
objectively,"O,R,P,W",P,0.010521,linux,1
objectively,"O,R,P,W",W,0.050777,linux,1
objectively,"O,R,W,P",O,0.11074200000000001,linux,1
objectively,"O,R,W,P",R,0.064814,linux,1
objectively,"O,R,W,P",W,0.034125,linux,1
objectively,"O,R,W,P",P,0.032662,linux,1
objectively,"R,O,W,P",R,0.051128,linux,1
objectively,"R,O,W,P",O,0.08364,linux,1
objectively,"R,O,W,P",W,0.032573,linux,1
objectively,"R,O,W,P",P,0.016059999999999998,linux,1
objectively,"R,W,O,P",R,0.050055999999999996,linux,1
objectively,"R,W,O,P",W,0.032172,linux,1
objectively,"R,W,O,P",O,0.08857899999999999,linux,1
objectively,"R,W,O,P",P,0.008607,linux,1
objectively,"R,W,P,O",R,0.037522,linux,1
objectively,"R,W,P,O",W,0.043153,linux,1
objectively,"R,W,P,O",P,0.041179,linux,1
objectively,"R,W,P,O",O,0.08353000000000001,linux,1
objectively,"W,R,P,O",W,0.03141,linux,1
objectively,"W,R,P,O",R,0.27741000000000005,linux,1
objectively,"W,R,P,O",P,0.008647,linux,1
objectively,"W,R,P,O",O,0.103909,linux,1
objectively,"W,R,O,P",W,0.034296,linux,1
objectively,"W,R,O,P",R,0.051509,linux,1
objectively,"W,R,O,P",O,0.081456,linux,1
objectively,"W,R,O,P",P,0.008686999999999999,linux,1
objectively,"W,O,R,P",W,0.056669,linux,1
objectively,"W,O,R,P",O,0.084551,linux,1
objectively,"W,O,R,P",R,0.038003,linux,1
objectively,"W,O,R,P",P,0.034717,linux,1
objectively,"O,W,R,P",O,0.087367,linux,1
objectively,"O,W,R,P",W,0.033814,linux,1
objectively,"O,W,R,P",R,0.040727,linux,1
objectively,"O,W,R,P",P,0.008657,linux,1
objectively,"O,W,P,R",O,0.083009,linux,1
objectively,"O,W,P,R",W,0.032382,linux,1
objectively,"O,W,P,R",P,0.062189,linux,1
objectively,"O,W,P,R",R,0.043893999999999996,linux,1
objectively,"W,O,P,R",W,0.03144,linux,1
objectively,"W,O,P,R",O,0.090172,linux,1
objectively,"W,O,P,R",P,0.008566,linux,1
objectively,"W,O,P,R",R,0.042151,linux,1
objectively,"W,P,O,R",W,0.039244999999999995,linux,1
objectively,"W,P,O,R",P,0.114188,linux,1
objectively,"W,P,O,R",O,0.095583,linux,1
objectively,"W,P,O,R",R,0.039615000000000004,linux,1
objectively,"W,P,R,O",W,0.051489,linux,1
objectively,"W,P,R,O",P,0.043734,linux,1
objectively,"W,P,R,O",R,0.052399999999999995,linux,1
objectively,"W,P,R,O",O,0.111664,linux,1
