paradigm,start_combination,func,time,system,start_property
objectively,"P,W,R,O",P,1.0892,windows,1
objectively,"P,W,R,O",W,2.1946,windows,1
objectively,"P,W,R,O",R,3.5273,windows,1
objectively,"P,W,R,O",O,3.0349,windows,1
objectively,"P,W,O,R",P,0.542,windows,1
objectively,"P,W,O,R",W,2.4403,windows,1
objectively,"P,W,O,R",O,4.8473,windows,1
objectively,"P,W,O,R",R,2.2127,windows,1
objectively,"P,O,W,R",P,1.1189,windows,1
objectively,"P,O,W,R",O,2.7626,windows,1
objectively,"P,O,W,R",W,1.0503,windows,1
objectively,"P,O,W,R",R,5.7205,windows,1
objectively,"O,P,W,R",O,2.6847,windows,1
objectively,"O,P,W,R",P,1.0831,windows,1
objectively,"O,P,W,R",W,2.7189,windows,1
objectively,"O,P,W,R",R,4.5391,windows,1
objectively,"O,P,R,W",O,2.8525,windows,1
objectively,"O,P,R,W",P,1.1622,windows,1
objectively,"O,P,R,W",R,1.6144,windows,1
objectively,"O,P,R,W",W,1.6097,windows,1
objectively,"P,O,R,W",P,1.0772,windows,1
objectively,"P,O,R,W",O,2.8513,windows,1
objectively,"P,O,R,W",R,1.0788,windows,1
objectively,"P,O,R,W",W,1.6268,windows,1
objectively,"P,R,O,W",P,1.1165,windows,1
objectively,"P,R,O,W",R,2.1127,windows,1
objectively,"P,R,O,W",O,1.6587,windows,1
objectively,"P,R,O,W",W,3.0107,windows,1
objectively,"P,R,W,O",P,0.0,windows,1
objectively,"P,R,W,O",R,0.0,windows,1
objectively,"P,R,W,O",W,5.898,windows,1
objectively,"P,R,W,O",O,5.2291,windows,1
objectively,"R,P,W,O",R,2.128,windows,1
objectively,"R,P,W,O",P,1.0138,windows,1
objectively,"R,P,W,O",W,2.7117,windows,1
objectively,"R,P,W,O",O,5.219,windows,1
objectively,"R,P,O,W",R,1.6526,windows,1
objectively,"R,P,O,W",P,1.1037,windows,1
objectively,"R,P,O,W",O,2.1868,windows,1
objectively,"R,P,O,W",W,2.9118,windows,1
objectively,"R,O,P,W",R,3.4632,windows,1
objectively,"R,O,P,W",O,4.7873,windows,1
objectively,"R,O,P,W",P,1.0954,windows,1
objectively,"R,O,P,W",W,1.6164,windows,1
objectively,"O,R,P,W",O,6.2071,windows,1
objectively,"O,R,P,W",R,1.0971,windows,1
objectively,"O,R,P,W",P,0.0,windows,1
objectively,"O,R,P,W",W,0.0,windows,1
objectively,"O,R,W,P",O,0.0,windows,1
objectively,"O,R,W,P",R,5.6052,windows,1
objectively,"O,R,W,P",W,0.0,windows,1
objectively,"O,R,W,P",P,0.0,windows,1
objectively,"R,O,W,P",R,5.5114,windows,1
objectively,"R,O,W,P",O,0.0,windows,1
objectively,"R,O,W,P",W,5.6922,windows,1
objectively,"R,O,W,P",P,1.1012,windows,1
objectively,"R,W,O,P",R,2.1398,windows,1
objectively,"R,W,O,P",W,2.3183,windows,1
objectively,"R,W,O,P",O,5.5505,windows,1
objectively,"R,W,O,P",P,1.1019,windows,1
objectively,"R,W,P,O",R,1.7467,windows,1
objectively,"R,W,P,O",W,1.617,windows,1
objectively,"R,W,P,O",P,1.1189,windows,1
objectively,"R,W,P,O",O,4.3168,windows,1
objectively,"W,R,P,O",W,2.973,windows,1
objectively,"W,R,P,O",R,3.9359,windows,1
objectively,"W,R,P,O",P,0.5113,windows,1
objectively,"W,R,P,O",O,2.6371,windows,1
objectively,"W,R,O,P",W,3.0811,windows,1
objectively,"W,R,O,P",R,3.5118,windows,1
objectively,"W,R,O,P",O,2.02,windows,1
objectively,"W,R,O,P",P,0.0,windows,1
objectively,"W,O,R,P",W,0.0,windows,1
objectively,"W,O,R,P",O,11.7511,windows,1
objectively,"W,O,R,P",R,2.3272,windows,1
objectively,"W,O,R,P",P,0.5135,windows,1
objectively,"O,W,R,P",O,2.3167,windows,1
objectively,"O,W,R,P",W,2.2173,windows,1
objectively,"O,W,R,P",R,3.5453,windows,1
objectively,"O,W,R,P",P,0.6237999999999999,windows,1
objectively,"O,W,P,R",O,3.2976,windows,1
objectively,"O,W,P,R",W,1.6466,windows,1
objectively,"O,W,P,R",P,1.168,windows,1
objectively,"O,W,P,R",R,2.7272,windows,1
objectively,"W,O,P,R",W,2.1712,windows,1
objectively,"W,O,P,R",O,5.4395,windows,1
objectively,"W,O,P,R",P,1.09,windows,1
objectively,"W,O,P,R",R,1.8734,windows,1
objectively,"W,P,O,R",W,2.3156,windows,1
objectively,"W,P,O,R",P,1.2047,windows,1
objectively,"W,P,O,R",O,3.7799,windows,1
objectively,"W,P,O,R",R,1.1191,windows,1
objectively,"W,P,R,O",W,1.6697,windows,1
objectively,"W,P,R,O",P,1.0952,windows,1
objectively,"W,P,R,O",R,2.1219,windows,1
objectively,"W,P,R,O",O,1.0178,windows,1
